StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4#1_1,Q4#1_2,Q4#1_3,Q4#1_4,Q4#1_5,Q4#1_6,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37
2021-11-11 12:24:03,2021-11-11 12:26:09,IP Address,104.218.80.138,100,125,True,2021-11-11 12:26:09,R_07kddsx1wziXMyd,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,027,21,Female,,,,,,Yes,Moderately so,Moderately so,Not at all,Somewhat,Moderately so,Not at all,Not at all,Somewhat,Not at all,Moderately so,Somewhat,Not at all,Somewhat,Somewhat,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Moderately so,agree,neutral,agree,slightly agree,slightly disagree,slightly disagree,agree,slightly agree,disagree,neutral
2021-11-17 12:29:52,2021-11-17 12:32:20,IP Address,104.218.80.138,100,147,True,2021-11-17 12:32:20,R_ZaWjEmkZ0yULckx,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,028,18,Female,Yes,,,,,,Very much so,Moderately so,Somewhat,Not at all,Moderately so,Not at all,Somewhat,Somewhat,Not at all,Very much so,Moderately so,Not at all,Not at all,Very much so,Somewhat,Moderately so,Not at all,Not at all,Very much so,Somewhat,slightly disagree,agree,neutral,disagree,disagree,disagree,disagree,disagree,slightly disagree,disagree
2022-01-25 13:38:11,2022-01-25 13:40:36,IP Address,104.218.80.138,100,145,True,2022-01-25 13:40:36,R_2axUrGF4gNtLy3I,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,029,18,Female,No,No,Yes,No,No,No,Moderately so,Moderately so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Moderately so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,neutral,slightly agree,neutral,slightly disagree,slightly agree,neutral,neutral,neutral,neutral,slightly disagree
2022-01-26 13:31:21,2022-01-26 13:33:16,IP Address,104.218.80.138,100,114,True,2022-01-26 13:33:16,R_2xzxPfjwIRP8IUv,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,030,18,Female,No,No,No,No,No,Yes,Moderately so,Very much so,Not at all,Not at all,Moderately so,Not at all,Not at all,Moderately so,Not at all,Moderately so,Very much so,Not at all,Not at all,Not at all,Moderately so,Moderately so,Not at all,Not at all,Very much so,Very much so,slightly disagree,slightly agree,agree,slightly agree,disagree,slightly disagree,slightly disagree,disagree,slightly disagree,disagree
2022-01-27 13:33:17,2022-01-27 13:35:15,IP Address,104.218.80.138,100,118,True,2022-01-27 13:35:15,R_1M54Go8M7tMpiKZ,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,031,20,Female,No,No,No,No,No,Yes,Somewhat,Somewhat,Moderately so,Moderately so,Not at all,Moderately so,Moderately so,Not at all,Somewhat,Not at all,Not at all,Moderately so,Very much so,Moderately so,Not at all,Not at all,Moderately so,Moderately so,Not at all,Not at all,agree,slightly disagree,agree,slightly agree,slightly agree,slightly agree,agree,slightly agree,agree,slightly agree
2022-01-31 13:29:03,2022-01-31 13:30:52,IP Address,104.218.80.138,100,108,True,2022-01-31 13:30:52,R_1hQNGkalPG4by7p,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,032,22,Male,No,No,No,No,No,Yes,Very much so,Very much so,Somewhat,Not at all,Moderately so,Not at all,Somewhat,Moderately so,Somewhat,Very much so,Moderately so,Somewhat,Not at all,Not at all,Very much so,Moderately so,Somewhat,Not at all,Moderately so,Moderately so,neutral,slightly agree,slightly agree,neutral,agree,disagree,disagree,disagree,slightly disagree,slightly disagree
2022-01-31 14:04:27,2022-01-31 14:07:47,IP Address,104.218.80.138,100,199,True,2022-01-31 14:07:47,R_RxWwnHQylOQZyvf,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,033,19,Male,No,No,No,No,No,Yes,Moderately so,Moderately so,Not at all,Not at all,Moderately so,Not at all,Not at all,Moderately so,Not at all,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Very much so,Moderately so,Not at all,Not at all,Very much so,Moderately so,neutral,slightly agree,slightly agree,neutral,disagree,disagree,slightly agree,agree,disagree,slightly disagree
2022-01-31 14:39:55,2022-01-31 14:41:16,IP Address,104.218.80.138,100,80,True,2022-01-31 14:41:16,R_uaxRTBhjHyxnkfD,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,034,21,Male,,,,,,Yes,Moderately so,Very much so,Somewhat,Not at all,Moderately so,Somewhat,Not at all,Moderately so,Not at all,Moderately so,Moderately so,Not at all,Not at all,Not at all,Moderately so,Moderately so,Somewhat,Not at all,Somewhat,Moderately so,slightly disagree,slightly agree,slightly agree,disagree,disagree,slightly disagree,disagree,disagree,disagree,disagree
2022-02-01 14:25:47,2022-02-01 14:27:52,IP Address,104.218.80.138,100,124,True,2022-02-01 14:27:52,R_3gNvSQOsOwooit0,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,035,20,Female,No,No,No,No,No,Yes,Very much so,Moderately so,Not at all,Not at all,Moderately so,Not at all,Somewhat,Moderately so,Not at all,Very much so,Moderately so,Not at all,Not at all,Somewhat,Moderately so,Moderately so,Moderately so,Not at all,Moderately so,Moderately so,slightly agree,slightly disagree,agree,disagree,neutral,slightly agree,slightly disagree,disagree,slightly disagree,disagree
2022-02-01 15:32:31,2022-02-01 15:34:48,IP Address,104.218.80.138,100,137,True,2022-02-01 15:34:48,R_2CsrG1TVFv6iutu,,,,,40.8513946533203125,-96.713897705078125,anonymous,EN,036,21,Female,No,Yes,Yes,No,No,Yes,Very much so,Somewhat,Not at all,Not at all,Moderately so,Not at all,Not at all,Somewhat,Not at all,Moderately so,Somewhat,Not at all,Not at all,Not at all,Moderately so,Somewhat,Not at all,Not at all,Not at all,Somewhat,slightly disagree,slightly agree,slightly agree,disagree,disagree,disagree,disagree,disagree,disagree,slightly agree
